ID,Father.ID,Mother.ID,Fathers.Father.ID,Fathers.Mother.ID,Mothers.Father.ID,Mothers.Mother.ID,MALE,AO,AL,F,E,AOy,ALy,Fy,Ey,Y,BV.NT.O,TPO,TMO,NTPO,NTMO,BV.NT.L,TPL,TML,NTPL,NTML,YP,FP,YM,FM
6411907,3295322,5294956,9018994,4781630,7936805,3756864,1,-0.336292487836821,-0.431756521884395,-0.0907904134426121,-0.401961234346938,-0.168146243918411,-0.215878260942198,-0.0907904134426121,-0.237803473210968,-0.712618391514189,-0.359265815179708,0.157671146284583,-0.493963634121404,0.323032897344192,-0.6822987125239,-0.799448062429378,-0.0984708810884772,-0.333285640795918,-0.611496632918228,-0.18795142951115,0.130822879003442,-0.42205009716062,-0.462342595321701,-0.0993324206671199
9335522,6131081,5141763,4918903,8563324,7755139,1603883,0,1.1355945819492,-0.94162439164733,-1.13662097890905,0.98259179909429,0.5677972909746,-0.470812195823665,-1.13662097890905,0.581309147766121,-0.458326735991995,-0.528627037020843,1.69058739681448,-0.554992814865281,0.180947530507693,-0.709574567528536,-1.88443329176293,-0.332248064048536,-0.609376327598794,-0.80236908577349,-1.08206420598944,-0.482982055703113,-0.218922810004631,-3.66737094084416,-1.89510041632815
8677483,1558338,2163047,2161793,9250740,5135537,7873892,1,-1.53631583683351,0.0890539164072557,0.381180956736068,0.729625079266945,-0.768157918416754,0.0445269582036278,0.381180956736068,0.431652018069363,0.0892020145923049,0.013108714991838,-0.433582106932392,-1.10273372990112,-0.0872863173797718,0.10039503237161,0.48311407544645,0.552452759310479,-0.463398842903223,1.29764346375853,-0.814529388312081,1.62752662441692,0.421896058874455,-0.23565056777862,-0.54118429950004
1759270,6405916,9517822,4391701,1362854,7508445,5223250,0,0.483879730468134,0.783771905854006,0.940490979533292,-0.233810907168317,0.241939865234067,0.391885952927003,0.940490979533292,-0.138324398096666,1.4359923995977,1.26660516007988,-0.214132782134109,0.698012512602242,0.332430926950761,0.934174233129119,1.25680886041693,0.524207378214385,0.259564527639622,1.02086934122262,0.235939519194306,1.91516770235132,0.93307572837664,1.51901979511877,0.151184170225363
6898184,7993010,2291619,5702412,6073123,4986269,5635498,1,1.22134227675869,0.546570647508969,0.89104492849916,0.812279140646546,0.610671138379345,0.273285323754484,0.89104492849916,0.480550820221256,2.25555221085425,1.60999877880147,0.819153853632896,0.402188423125795,0.296599823936337,1.31339895486514,1.25137266826402,-0.315761060343388,0.862331707852357,-0.799577398501949,2.05095006676597,0.191271802627918,-0.0506963967913373,3.06236424463587,1.6388916175364
9976915,1676651,7879629,9030562,3241555,3716082,9385059,0,-0.917551088201587,-0.210196521662577,-1.12515155606138,-0.00888463092942476,-0.458775544100793,-0.105098260831289,-1.12515155606138,-0.00525621854218714,-1.69428157953565,-1.92261700028,0.308533487427155,-1.22608457562874,-0.993136284623187,-0.929480715656815,-0.756326070453969,-0.125465724402885,-0.0847307972596924,-0.652145527190918,-0.104180543263051,-1.04320505205981,-0.104568786538789,-3.06526753371923,-1.20664598149957
4563804,6930012,1251408,3601341,9795648,7700010,6292753,0,-0.493495130702456,0.959246926509001,0.0540857890276685,0.718786271986515,-0.246747565351228,0.479623463254501,0.0540857890276685,0.425239693206897,0.712201380137837,0.724159218634874,-0.167278911949311,-0.326216218753145,0.89359079059943,-0.169431571964556,-0.641699839616608,0.873338361654608,0.0859085648543934,-0.286893662262518,-0.354806177354089,1.2045670459248,0.486707335783454,-1.00707366798534,0.151100548843403
1801268,2901768,1244066,9350938,1723997,5080707,7005386,1,1.03546418845581,0.0593457086568389,-0.0946221536403729,-1.96935565445836,0.517732094227904,0.0296728543284194,-0.0946221536403729,-1.1650865173074,-0.712303722391449,-1.83768358849294,0.881346395494408,0.1541177929614,-1.1936709945658,-0.64401259392714,-0.336034193273544,0.434693890235676,-0.375348181578837,-0.479549041194502,0.143514847920958,0.440194191848057,0.145394703226461,-0.785705445105069,-0.515810630000095
6874465,9506902,1837704,4908842,2528370,1028517,9859612,0,-0.681204767258275,-0.317387121088541,0.874663431038776,0.82693431295847,-0.340602383629137,-0.15869356054427,0.874663431038776,0.489220937084497,0.864588423949866,2.75021924713667,0.0300051931795922,-0.711209960437867,1.05006415108918,1.70015509604749,0.205212962542577,0.281319462242158,-0.598706583330699,-0.456917663294728,0.662130625837305,1.92597473393578,0.724635975283242,1.26784454209624,0.515915058559267
8931372,4154479,9462064,2699179,2737063,9627859,1779803,0,-0.891672710477093,-0.959583665369102,0.0553186825901514,-1.11480836514031,-0.445836355238546,-0.479791832684551,0.0553186825901514,-0.659529523103691,-1.52983902843664,-1.20426883504029,-0.504214670883451,-0.387458039593643,-0.643625970117178,-0.560642864923113,2.81762479237194,-0.788976788460887,-0.170606876908215,1.09682458511295,1.72080020725899,0.627475790312729,0.484667056298709,-0.425480521605435,0.530891144672629
8765289,6429149,4524268,5362666,8765461,1048203,3380156,1,0.771500762786176,-0.498041283401996,-0.00594935927510061,0.876386576736889,0.385750381393088,-0.249020641700998,-0.00594935927510061,0.518477290881299,0.649257671298288,0.351027347294454,0.737933354336266,0.0335674084499107,-0.283289963633635,0.634317310928088,-0.0556223362501901,-0.26853714062451,-0.229504142777486,-0.603540743434652,0.547918407184462,0.412143994828182,0.334996713979984,-0.433867983346017,-0.140855468266044
9339221,5835807,9988053,9268575,9840093,5966708,8462738,1,0.733808745066143,-0.528458063076899,-0.357491155318939,-1.1443545327009,0.366904372533071,-0.264229031538449,-0.357491155318939,-0.677009271561018,-0.931825085885336,-0.859327906384652,0.928493363461781,-0.194684618395638,-0.781658333174193,-0.0776695732104588,-0.598938852352568,-1.41164254547149,0.883184482394593,0.219831925561693,-0.818770777914261,-0.377797111955476,-0.172946051727839,-0.927576020556298,-0.228369131088731
4841057,3194690,7360131,8264155,1682123,5849912,5651150,0,-0.955283509368888,-2.20319798194097,-1.50981875622124,-1.0254446820299,-0.477641754684444,-1.10159899097048,-1.50981875622124,-0.606661255204412,-3.69572075708058,-0.773737182046722,-1.05079325477642,0.0955097454075355,-0.675163573052369,-0.0985736089943526,-1.4488481025261,-0.478197805450034,-1.72500017649093,-1.26106613333084,-0.187781969195264,-2.98379835081357,-0.61583755290588,-2.5292802526982,-1.30456561699857
